"STATISTIC","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q1","Single house","Cork City Council","Number","8"
"New Dwelling Completion","2011Q1","Single house","Clare County Council","Number","45"
"New Dwelling Completion","2011Q1","Single house","Cavan County Council","Number","21"
"New Dwelling Completion","2011Q1","Single house","Cork County Council","Number","145"
"New Dwelling Completion","2011Q1","Single house","Carlow County Council","Number","17"
"New Dwelling Completion","2011Q1","Single house","Dublin City Council","Number","6"
"New Dwelling Completion","2011Q1","Single house","Dún Laoghaire Rathdown County Council","Number","16"
"New Dwelling Completion","2011Q1","Single house","Donegal County Council","Number","82"
"New Dwelling Completion","2011Q1","Single house","Fingal County Council","Number","17"
"New Dwelling Completion","2011Q1","Single house","Galway County Council","Number","92"
"New Dwelling Completion","2011Q1","Single house","Galway City Council","Number","3"
"New Dwelling Completion","2011Q1","Single house","Kildare County Council","Number","37"
"New Dwelling Completion","2011Q1","Single house","Kilkenny County Council","Number","36"
"New Dwelling Completion","2011Q1","Single house","Kerry County Council","Number","51"
"New Dwelling Completion","2011Q1","Single house","Longford County Council","Number","9"
"New Dwelling Completion","2011Q1","Single house","Louth County Council","Number","34"
"New Dwelling Completion","2011Q1","Single house","Limerick City & County Council","Number","49"
"New Dwelling Completion","2011Q1","Single house","Leitrim County Council","Number","20"
"New Dwelling Completion","2011Q1","Single house","Laois County Council","Number","22"
"New Dwelling Completion","2011Q1","Single house","Meath County Council","Number","57"
"New Dwelling Completion","2011Q1","Single house","Monaghan County Council","Number","23"
"New Dwelling Completion","2011Q1","Single house","Mayo County Council","Number","64"
"New Dwelling Completion","2011Q1","Single house","Offaly County Council","Number","23"
"New Dwelling Completion","2011Q1","Single house","Roscommon County Council","Number","26"
"New Dwelling Completion","2011Q1","Single house","South Dublin County Council","Number","13"
"New Dwelling Completion","2011Q1","Single house","Sligo County Council","Number","38"
"New Dwelling Completion","2011Q1","Single house","Tipperary County Council","Number","40"
"New Dwelling Completion","2011Q1","Single house","Waterford City & County Council","Number","35"
"New Dwelling Completion","2011Q1","Single house","Westmeath County Council","Number","22"
"New Dwelling Completion","2011Q1","Single house","Wicklow County Council","Number","40"
"New Dwelling Completion","2011Q1","Single house","Wexford County Council","Number","65"
"New Dwelling Completion","2011Q1","Single house","Ireland","Number","1156"
"New Dwelling Completion","2011Q1","Scheme house","Cork City Council","Number","26"
"New Dwelling Completion","2011Q1","Scheme house","Clare County Council","Number","6"
"New Dwelling Completion","2011Q1","Scheme house","Cavan County Council","Number","39"
"New Dwelling Completion","2011Q1","Scheme house","Cork County Council","Number","22"
"New Dwelling Completion","2011Q1","Scheme house","Carlow County Council","Number","0"
"New Dwelling Completion","2011Q1","Scheme house","Dublin City Council","Number","7"
"New Dwelling Completion","2011Q1","Scheme house","Dún Laoghaire Rathdown County Council","Number","6"
"New Dwelling Completion","2011Q1","Scheme house","Donegal County Council","Number","24"
"New Dwelling Completion","2011Q1","Scheme house","Fingal County Council","Number","113"
